Date,Open,High,Low,Close,Adj Close,Volume
2019-05-06,14.500000,15.450000,14.300000,14.720000,14.720000,1489100
2019-05-07,14.700000,15.000000,13.290000,14.160000,14.160000,2691000
2019-05-08,14.190000,14.640000,13.310000,13.340000,13.340000,1802300
2019-05-09,13.240000,13.910000,12.960000,13.700000,13.700000,1249300
2019-05-10,13.670000,13.730000,13.180000,13.370000,13.370000,883600
2019-05-13,13.050000,13.400000,12.920000,13.200000,13.200000,1016900
2019-05-14,13.280000,13.960000,13.280000,13.670000,13.670000,1010500
2019-05-15,13.560000,13.879000,13.320000,13.350000,13.350000,810500
2019-05-16,13.370000,13.550000,12.900000,12.990000,12.990000,1127700
2019-05-17,12.870000,13.010000,11.680000,11.900000,11.900000,2810800
2019-05-20,12.060000,12.060000,11.640000,11.720000,11.720000,1107300
2019-05-21,11.820000,12.320000,11.730000,12.280000,12.280000,977800
2019-05-22,12.200000,12.390000,11.900000,12.000000,12.000000,1591100
2019-05-23,11.900000,12.000000,11.310000,11.630000,11.630000,862200
2019-05-24,11.700000,11.830000,11.090000,11.170000,11.170000,864700
2019-05-28,11.120000,11.440000,10.800000,11.270000,11.270000,1621500
2019-05-29,11.150000,11.400000,10.910000,11.120000,11.120000,738000
2019-05-30,11.120000,11.420000,10.690000,10.860000,10.860000,767900
2019-05-31,10.740000,10.990000,10.270000,10.800000,10.800000,1037800
2019-06-03,10.800000,11.050000,10.620000,10.710000,10.710000,742400
2019-06-04,10.920000,11.065000,10.710000,10.800000,10.800000,708600
2019-06-05,10.800000,11.080000,10.590000,10.740000,10.740000,754000
2019-06-06,10.770000,10.880000,9.925000,10.100000,10.100000,1183700
2019-06-07,10.170000,10.370000,9.950000,10.220000,10.220000,1415500
2019-06-10,10.290000,10.810000,10.150000,10.430000,10.430000,1408000
2019-06-11,10.650000,11.190000,10.440000,10.480000,10.480000,1127200
2019-06-12,10.480000,10.770000,10.370000,10.500000,10.500000,924100
2019-06-13,10.570000,11.710000,10.560000,11.290000,11.290000,1673700
2019-06-14,11.270000,11.480000,10.780000,11.110000,11.110000,1282000
2019-06-17,11.190000,12.050000,11.190000,11.790000,11.790000,1302500
2019-06-18,11.890000,12.170000,11.804000,12.070000,12.070000,925000
2019-06-19,11.990000,12.200000,11.720000,12.170000,12.170000,1204800
2019-06-20,12.570000,12.750000,11.875000,12.440000,12.440000,2072800
2019-06-21,12.370000,12.680000,11.650000,11.720000,11.720000,1653900
2019-06-24,11.700000,11.750000,11.200000,11.560000,11.560000,1288800
2019-06-25,11.520000,11.800000,11.260000,11.530000,11.530000,1394300
2019-06-26,11.500000,12.150000,11.484000,11.820000,11.820000,1295800
2019-06-27,11.830000,12.305000,11.490000,11.640000,11.640000,1165000
2019-06-28,11.710000,12.400000,11.710000,12.270000,12.270000,8383200
2019-07-01,12.990000,13.065000,12.320000,12.510000,12.510000,2297400
2019-07-02,12.550000,12.740000,11.950000,12.630000,12.630000,2645300
2019-07-03,12.660000,12.730000,12.360000,12.410000,12.410000,585700
2019-07-05,12.310000,12.970000,12.250000,12.810000,12.810000,881500
2019-07-08,12.820000,12.960000,12.340000,12.920000,12.920000,753800
2019-07-09,12.820000,12.980000,12.718000,12.960000,12.960000,546100
2019-07-10,13.000000,13.190000,12.930000,13.050000,13.050000,1136900
2019-07-11,13.220000,13.300000,12.700000,12.740000,12.740000,1094300
2019-07-12,12.900000,13.170000,12.900000,13.060000,13.060000,1070300
2019-07-15,13.100000,13.180000,12.270000,12.310000,12.310000,1037000
2019-07-16,12.320000,12.490000,11.700000,12.000000,12.000000,1366400
2019-07-17,11.980000,12.095000,11.570000,11.600000,11.600000,1125100
2019-07-18,11.600000,11.800000,11.290000,11.430000,11.430000,1006700
2019-07-19,11.500000,11.630000,10.990000,11.000000,11.000000,759700
2019-07-22,11.000000,11.090000,10.330000,10.660000,10.660000,1773000
2019-07-23,10.770000,10.800000,10.250000,10.500000,10.500000,1025700
2019-07-24,10.340000,10.960000,10.300000,10.910000,10.910000,1225100
2019-07-25,10.880000,11.090000,10.570000,10.630000,10.630000,833600
2019-07-26,10.650000,10.880000,10.500000,10.650000,10.650000,716500
2019-07-29,10.640000,10.700000,10.250000,10.320000,10.320000,767000
2019-07-30,10.230000,10.290000,9.960000,10.160000,10.160000,1108600
2019-07-31,10.100000,10.530000,10.000000,10.450000,10.450000,2126100
2019-08-01,10.450000,10.880000,10.200000,10.210000,10.210000,1289500
2019-08-02,10.150000,10.300000,9.900000,10.240000,10.240000,808200
2019-08-05,10.070000,10.180000,9.410000,9.620000,9.620000,1458900
2019-08-06,9.690000,9.890000,9.210000,9.220000,9.220000,1028700
2019-08-07,9.180000,9.310000,8.710000,9.140000,9.140000,1618900
2019-08-08,9.230000,9.270000,8.720000,8.920000,8.920000,1252800
2019-08-09,9.010000,9.040000,8.430000,8.560000,8.560000,1330500
2019-08-12,8.530000,8.590000,7.950000,8.000000,8.000000,1488300
2019-08-13,5.980000,6.110000,4.540000,4.600000,4.600000,19436600
2019-08-14,4.555000,5.410000,4.410000,4.910000,4.910000,7410000
2019-08-15,4.920000,5.250000,4.656000,4.950000,4.950000,3828800
2019-08-16,5.020000,5.150000,4.960000,5.120000,5.120000,2736400
